fase	deel	vraag	oordeel	criterium
1	vraagzijde	1	1	De opdrachtgever en belanghebbenden zijn gekend.
1	vraagzijde	1	2	Geen informatie beschikbaar over de vragende partijen.
1	vraagzijde	1	3	Enkel de opdrachtgever is opgelijst.
1	vraagzijde	1	4	Zowel de opdrachtgever als andere belanghebbenden zijn opgelijst.
1	vraagzijde	2	1	De informatienoden zijn in kaart gebracht.
1	vraagzijde	2	2	Er is hooguit een vaag overzicht van de gewenste informatie.
1	vraagzijde	2	3	De meetnetbeheerder beschikt over een volledige overzicht van de vragen van de opdrachtgever. De opdrachtgever keurde dit overzicht goed.
1	vraagzijde	2	4	Er een volledige overzicht van de vragen van zowel de opdrachtgever als de belanghebbenden. De opdrachtgever heeft dit overzicht goedgekeurd.
1	wetenschappelijke basis	1	1	Er is een wetenschappelijk model van het systeem waarvoor met een meetnet wil ontwerpen.
1	wetenschappelijke basis	1	2	Er is geen systeembeschrijving beschikbaar of deze is onvolledig of vaag.
1	wetenschappelijke basis	1	3	De beschrijving omvat enkel de allerbelangrijkste elementen van het systeem met vermelding van wat niet in detail uitgewerkt is. Kennishiaten zijn aangegeven.
1	wetenschappelijke basis	1	4	Een uitgebreide systeembeschrijving is voor handen. Alle relevante vragen zijn terug te vinden in dit schema. Kennishiaten zijn aangegeven.
1	aanbodzijde	1	1	Er is een overzicht van lopende of afgelopen onderzoeken, monitoringsinitiatieven, ... die een raakvlak hebben met de informatienoden. Er is zicht op mogelijke synergieën.
1	aanbodzijde	1	2	Er is hooguit een summier overzicht.
1	aanbodzijde	1	3	Het overzicht omvat alle potentieel relevante initiatieven van de eigen organisatie of van de opdrachtgever.
1	aanbodzijde	1	4	Het overzicht omvat alle potentieel relevante initiatieven van de eigen organisatie, van de opdrachtgever en van derden.
1	randvoorwaarde	1	1	De beschikbare middelen zijn in kaart gebracht.
1	randvoorwaarde	1	2	Geen duidelijk zicht op de beschikbare middelen.
1	randvoorwaarde	1	3	Een ruwe inschatting van de beschikbare middelen is beschikbaar.
1	randvoorwaarde	2	1	De wettelijke verplichte rapportage is in kaart gebracht.
1	randvoorwaarde	2	2	Geen duidelijk zicht op de wettelijke verplichte rapportage.
1	randvoorwaarde	2	3	Ruwe overzicht van de wettelijke verplichte rapportage. Of er is geen relevante verplichte rapportage.
1	randvoorwaarde	2	4	Gedetailleerd overzicht van de wettelijke verplichte rapportage.
1	synthese	1	1	Door confrontatie van vraag- en aanbod identificeert men de prioritaire vragen waarop het meetnet een antwoord kan geven rekening houdend met de randvoorwaarden.
1	synthese	1	2	Geen synthese beschikbaar of zonder goedkeuring van de opdrachtgever.
1	synthese	1	3	Eenvoudige synthese met de prioritaire vragen beschikbaar die goedkeurd is door de opdrachtgever.
1	synthese	1	4	Uitgebreide afweging van de vragen beschikbaar. De prioritering van de vragen is gemotiveerde. De synthese is goedgekeurd door de opdrachtgever.
2	inzamelen	1	1	De prioritaire vragen zijn vertaald naar concrete meetvragen.
2	inzamelen	1	2	De meetvragen zijn concreet genoeg om te vertalen naar een statistische analyse. Of ze hebben geen link met de prioritaire vragen.
2	inzamelen	1	2	De meest prioritaire vragen zijn vertaald naar concrete meetvragen bruikbaar voor een statistische analyse.
2	inzamelen	1	2	Alle prioritaire vragen zijn vertaald naar concrete meetvragen bruikbaar voor een statistische analyse.
2	inzamelen	2	1	De doelpopulatie is bepaald.
2	inzamelen	2	2	De omschrijving van de doelpopulatie is te vaag. Niet-relevant elementen vallen ook binnen de definitie.
2	inzamelen	2	3	De doelpopulatie is bepaald aan de hand van een ondubbelzinnige definitie.
2	inzamelen	2	4	De doelpopulatie is bepaald aan de hand van een ondubbelzinnige definitie. Deze definitie is duidelijk gemotiveerd.
2	inzamelen	3	1	Er is een selectie van meet- en analysevariabelen.
2	inzamelen	3	2	Er is geen overzicht van de mogelijke meet- en analysevariabelen.
